id,nome_funcionario,sexo,departamento,data_admissao,salario,cargo,localizacao,pais
606,Parker,Feminino,Industrial,2003-02-08,136917,Assistant Professor,Norte,Brasil
607,Reyes,Masculino,Esporte,2007-07-21,130563,Nuclear Power Engineer,Nova Scotia,Canada
608,Garza,Masculino,SaÃºde,2004-11-13,73553,Accountant IV,Quebec,Canada
609,Fisher,Masculino,Eletronicos,2007-01-21,93995,Teacher,Sudeste,Brasil
610,Hicks,Masculino,SaÃºde,2009-08-23,45270,VP Marketing,Nova Scotia,Canada
611,Ford,Feminino,CalÃ§ados,2009-10-29,147739,Safety Technician I,British Columbia,Canada
612,Fowler,Feminino,SaÃºde,2003-09-10,142211,Software Test Engineer IV,Norte,Brasil
613,Coleman,Feminino,Beleza,2006-09-26,48791,Teacher,Nordeste,Brasil
614,Ramirez,Feminino,Eletronicos,2008-11-02,112929,Account Coordinator,British Columbia,Canada
615,Alexander,Feminino,Roupas,2009-12-25,72854,Marketing Assistant,Nova Scotia,Canada
616,Marshall,Feminino,Automotivo,2006-10-10,47281,VP Sales,Quebec,Canada
617,Mills,Feminino,SaÃºde,2013-06-12,49410,Account Representative II,Nordeste,Brasil
618,Phillips,Masculino,Roupas,2001-06-07,128205,Sales Representative,Quebec,Canada
619,Cole,Masculino,Ferramentas,2014-06-02,133190,Research Nurse,Nova Scotia,Canada
620,Olson,Feminino,Books,2009-08-14,59644,Systems Administrator III,Nordeste,Brasil
621,Reynolds,Masculino,CrianÃ§as,2004-10-31,111427,Programmer I,Norte,Brasil
622,Wright,Masculino,Eletronicos,2002-03-15,98339,Assistant Manager,Sul,Brasil
623,Ford,Masculino,Beleza,2006-02-27,72948,Teacher,Quebec,Canada
624,Garza,Masculino,Books,2008-11-26,60203,Product Engineer,Sudeste,Brasil
625,Andrews,Feminino,Outdoors,2007-12-02,147003,Chemical Engineer,Nordeste,Brasil
626,Ruiz,Feminino,Jardim,2009-01-12,83706,Assistant Media Planner,Sudeste,Brasil
627,Watkins,Feminino,AlimentÃ­cios,2000-01-21,80245,VP Product Management,Quebec,Canada
628,Diaz,Masculino,Joalheria,2008-08-11,65110,Compensation Analyst,British Columbia,Canada
629,Watkins,Masculino,Joalheria,2011-07-29,128617,Senior Editor,Norte,Brasil
630,Pierce,Masculino,Outdoors,2002-02-09,96107,Actuary,British Columbia,Canada
631,Perez,Feminino,Ferramentas,2014-06-14,44788,Project Manager,Sudeste,Brasil
632,Lopez,Feminino,Jardim,2004-01-01,86207,Accountant II,Norte,Brasil
633,Freeman,Masculino,CalÃ§ados,2000-10-25,79845,Teacher,Nordeste,Brasil
634,Fowler,Feminino,Outdoors,2011-04-06,104264,funcionarios Scientist,Quebec,Canada
635,Rodriguez,Feminino,Ferramentas,2010-12-27,77005,Systems Administrator IV,Nordeste,Brasil
636,Wheeler,Feminino,Industrial,2011-09-25,69564,Senior Editor,Quebec,Canada
637,Knight,Feminino,CalÃ§ados,2007-07-25,84549,Senior Cost Accountant,British Columbia,Canada
638,Walker,Masculino,Games,2006-06-09,134488,Software Consultant,Nordeste,Brasil
639,Porter,Masculino,CalÃ§ados,2007-02-13,140243,Financial Advisor,British Columbia,Canada
640,Washington,Masculino,Joalheria,2003-02-22,44096,Geologist IV,Norte,Brasil
641,Hayes,Feminino,SaÃºde,2010-04-07,69454,Web Designer II,Nordeste,Brasil
642,Warren,Feminino,Filmes,2009-05-15,126201,Electrical Engineer,Sudeste,Brasil
643,Johnston,Masculino,Joalheria,2014-03-21,123820,Computer Systems Analyst IV,Norte,Brasil
644,Carroll,Masculino,AlimentÃ­cios,2002-04-06,52956,Compensation Analyst,Nova Scotia,Canada
645,Webb,Masculino,Ferramentas,2007-06-01,143595,Geological Engineer,Quebec,Canada
646,Harvey,Masculino,Beleza,2014-08-14,124707,Registered Nurse,Quebec,Canada
647,Washington,Masculino,Eletronicos,2009-10-15,57092,Internal Auditor,Sudeste,Brasil
648,Long,Masculino,Beleza,2007-02-12,149099,Executive Secretary,Sul,Brasil
649,Russell,Masculino,CalÃ§ados,2007-11-18,99352,Recruiting Manager,Nordeste,Brasil
650,Frazier,Masculino,AlimentÃ­cios,2013-01-22,44919,Quality Engineer,Nova Scotia,Canada
651,Freeman,Feminino,SaÃºde,2006-08-28,55034,Administrative Officer,Norte,Brasil
652,Rivera,Masculino,Joalheria,2006-06-16,60396,Senior Quality Engineer,Nova Scotia,Canada
653,Ramirez,Masculino,Brinquedos,2013-07-06,147862,Chemical Engineer,British Columbia,Canada
654,Mcdonald,Masculino,Automotivo,2002-11-03,69594,Recruiting Manager,Sul,Brasil
655,Meyer,Feminino,Esporte,2014-06-08,145363,GIS Technical Architect,Sul,Brasil
656,Campbell,Masculino,Books,2008-04-03,70804,Quality Engineer,Sudeste,Brasil
657,Reid,Feminino,Roupas,2013-06-29,65154,Sales Representative,British Columbia,Canada
658,Gilbert,Masculino,Eletronicos,2013-10-08,61332,Marketing Assistant,Sul,Brasil
659,Ramos,Feminino,Outdoors,2003-09-07,72319,Quality Control Specialist,Nordeste,Brasil
660,Nelson,Masculino,CalÃ§ados,2001-12-08,139564,Pharmacist,Nova Scotia,Canada
661,Foster,Feminino,Automotivo,2004-09-21,63364,Community Outreach Specialist,Norte,Brasil
662,Scott,Masculino,BebÃªs,2000-01-18,86497,Administrative Officer,Quebec,Canada
663,Lynch,Feminino,Outdoors,2003-01-25,117248,funcionarios Accountant III,Nordeste,Brasil
664,Watkins,Feminino,Esporte,2013-02-09,133507,Budget/Accounting Analyst II,Nordeste,Brasil
665,Garcia,Feminino,SaÃºde,2008-11-04,135132,Research Assistant III,Nova Scotia,Canada
666,Arnold,Feminino,CalÃ§ados,2013-04-22,52041,Database Administrator I,Sudeste,Brasil
667,Willis,Feminino,MÃºsica,2012-03-12,73425,Human Resources Manager,Sul,Brasil
668,Burton,Feminino,Computadores,2001-03-17,46960,Financial Advisor,Norte,Brasil
669,Owens,Masculino,Brinquedos,2001-05-06,104373,Graphic Designer,Quebec,Canada
670,Moreno,Feminino,CalÃ§ados,2014-09-17,102493,Senior Quality Engineer,British Columbia,Canada
671,Fuller,Masculino,CalÃ§ados,2007-12-11,55568,Senior Cost Accountant,Nova Scotia,Canada
672,Fowler,Masculino,Esporte,2006-05-05,75159,Biostatistician III,Sudeste,Brasil
673,Thomas,Masculino,SaÃºde,2014-10-27,51782,Operator,Quebec,Canada
674,Adams,Masculino,Brinquedos,2009-08-28,41855,Payment Adjustment Coordinator,Nova Scotia,Canada
675,Snyder,Masculino,Games,2005-06-22,143846,Web Developer III,Sul,Brasil
676,Sullivan,Masculino,MÃºsica,2013-09-29,101756,Programmer IV,British Columbia,Canada
677,Robertson,Masculino,Computadores,2014-08-04,136492,Compensation Analyst,Norte,Brasil
678,Mills,Masculino,MÃºsica,2011-04-17,82979,Senior Quality Engineer,Quebec,Canada
679,Stone,Masculino,Eletronicos,2014-05-15,40218,Paralegal,Sudeste,Brasil
680,Simmons,Feminino,Games,2001-12-09,60695,Chemical Engineer,Sudeste,Brasil
681,Butler,Masculino,Lar,2008-11-30,47994,Senior Quality Engineer,Norte,Brasil
682,Scott,Masculino,Jardim,2004-09-03,50057,Account Executive,Sudeste,Brasil
683,Torres,Feminino,Games,2006-03-11,135886,Assistant Media Planner,Sul,Brasil
684,Hall,Masculino,Joalheria,2009-07-15,77924,Senior Sales Associate,Nova Scotia,Canada
685,White,Feminino,Beleza,2008-12-07,136356,Office Assistant IV,Nordeste,Brasil
686,Watkins,Masculino,Brinquedos,2004-03-24,104444,Business Systems Development Analyst,Sudeste,Brasil
687,Gardner,Feminino,Computadores,2000-12-03,49693,Chemical Engineer,Sudeste,Brasil
688,Cruz,Masculino,Lar,2012-06-29,90829,Recruiter,Quebec,Canada
689,Austin,Feminino,Eletronicos,2007-10-31,62293,Administrative Officer,Norte,Brasil
690,Perkins,Masculino,MÃºsica,2000-05-09,57988,Web Developer I,Norte,Brasil
691,Hansen,Feminino,Beleza,2010-02-04,113893,Clinical Specialist,Nova Scotia,Canada
692,Owens,Masculino,CalÃ§ados,2013-03-11,58265,Nurse Practicioner,Sul,Brasil
693,Carr,Masculino,Jardim,2005-01-17,143570,Actuary,Norte,Brasil
694,Chavez,Feminino,AlimentÃ­cios,2007-04-19,116894,Chief Design Engineer,Quebec,Canada
695,Morales,Feminino,Automotivo,2006-01-24,82244,Administrative Assistant III,Sudeste,Brasil
696,Anderson,Masculino,Games,2012-10-07,92640,Executive Secretary,Nova Scotia,Canada
697,Woods,Masculino,Beleza,2000-06-23,123995,Assistant Media Planner,British Columbia,Canada
698,Cook,Masculino,Jardim,2005-12-12,97351,SaÃºde Coach I,Norte,Brasil
699,Price,Feminino,Roupas,2003-01-25,133091,VP Accounting,Nova Scotia,Canada
700,Stone,Masculino,Jardim,2004-07-15,100746,VP Quality Control,Quebec,Canada
701,Williams,Masculino,Joalheria,2002-10-13,101599,Developer II,Nova Scotia,Canada
702,Wells,Masculino,Esporte,2014-06-02,77293,Structural Analysis Engineer,British Columbia,Canada
703,Hernandez,Feminino,Games,2014-03-04,119787,Speech Pathologist,Nordeste,Brasil
704,Burke,Masculino,Computadores,2013-06-12,114690,funcionarios Scientist,Sudeste,Brasil
705,Clark,Masculino,Filmes,2009-10-25,97150,VP Accounting,Quebec,Canada
706,Mendoza,Feminino,Lar,2011-12-05,91655,Cost Accountant,British Columbia,Canada
707,Perry,Masculino,Industrial,2006-11-08,124296,Developer III,Nordeste,Brasil
708,Rose,Feminino,Automotivo,2011-12-24,66063,Software Test Engineer I,Nova Scotia,Canada
709,Payne,Feminino,Books,2007-01-12,138137,Developer IV,Sudeste,Brasil
710,Mills,Feminino,MÃºsica,2005-01-22,49326,Chemical Engineer,Nova Scotia,Canada
711,Roberts,Masculino,Roupas,2009-08-21,80743,Geological Engineer,Norte,Brasil
712,Torres,Masculino,Joalheria,2007-12-23,105686,Senior Developer,Quebec,Canada
713,Hicks,Feminino,Esporte,2013-12-23,65650,Project Manager,Nordeste,Brasil
714,Cooper,Masculino,Games,2003-09-26,86446,Statistician II,Norte,Brasil
715,Henry,Feminino,Games,2010-06-26,132421,Human Resources Manager,Nordeste,Brasil
716,Jacobs,Masculino,Eletronicos,2004-06-18,69855,Payment Adjustment Coordinator,Norte,Brasil
717,Greene,Feminino,Outdoors,2007-07-08,80999,Employee Accountant II,Quebec,Canada
718,Armstrong,Masculino,SaÃºde,2003-01-03,66447,Account Coordinator,Sudeste,Brasil
719,Wagner,Masculino,Beleza,2013-01-04,135445,Operator,Sudeste,Brasil
720,Rice,Feminino,Joalheria,2010-11-08,57781,Dental Hygienist,Norte,Brasil
721,Smith,Feminino,SaÃºde,2005-09-21,83802,Research Assistant II,Nova Scotia,Canada
722,Hill,Feminino,Roupas,2002-08-31,73262,Information Systems Manager,British Columbia,Canada
723,Howard,Feminino,BebÃªs,2002-03-03,89035,Senior Editor,British Columbia,Canada
724,Elliott,Masculino,Industrial,2001-05-20,125115,Senior Quality Engineer,Sul,Brasil
725,Richards,Masculino,BebÃªs,2003-10-02,80939,Analyst Programmer,Nordeste,Brasil
726,Welch,Masculino,Lar,2008-09-11,49463,Research Nurse,Nordeste,Brasil
727,Johnson,Masculino,Filmes,2012-05-21,83165,Account Representative I,British Columbia,Canada
728,Larson,Feminino,Outdoors,2006-04-21,125574,Research Associate,Nordeste,Brasil
729,Banks,Masculino,Joalheria,2013-11-15,119747,Graphic Designer,British Columbia,Canada
730,Johnston,Feminino,Esporte,2008-11-24,57651,Help Desk Operator,Quebec,Canada
731,Ferguson,Feminino,Lar,2009-06-28,70524,VP Accounting,Sudeste,Brasil
732,Murray,Masculino,Roupas,2004-08-15,50511,Senior Cost Accountant,Sul,Brasil
733,Diaz,Masculino,Lar,2000-11-20,58847,Community Outreach Specialist,Norte,Brasil
734,Simmons,Feminino,Automotivo,2005-02-20,58555,Biostatistician I,Sudeste,Brasil
735,Richards,Masculino,Roupas,2014-11-14,116333,Legal Assistant,British Columbia,Canada
736,Morgan,Masculino,BebÃªs,2009-08-27,80813,Senior Quality Engineer,Quebec,Canada
737,Price,Masculino,SaÃºde,2004-07-26,142794,Recruiting Manager,Nordeste,Brasil
738,Hudson,Feminino,Computadores,2003-01-04,65083,Marketing Assistant,Quebec,Canada
739,Carroll,Feminino,BebÃªs,2014-03-13,125398,Assistant Professor,Sudeste,Brasil
740,Long,Feminino,CrianÃ§as,2008-01-13,98502,Structural Analysis Engineer,Nova Scotia,Canada
741,Parker,Feminino,CalÃ§ados,2002-12-31,90086,Research Associate,Norte,Brasil
742,Nguyen,Masculino,Esporte,2007-12-03,77382,Design Engineer,Quebec,Canada
743,Garza,Feminino,Eletronicos,2014-12-23,113278,Statistician IV,Sudeste,Brasil
744,Gordon,Masculino,Automotivo,2001-09-18,129324,Developer I,Norte,Brasil
745,Reed,Feminino,Outdoors,2005-11-21,108504,Pharmacist,Nordeste,Brasil
746,Baker,Masculino,Industrial,2001-10-04,145283,Payment Adjustment Coordinator,Nordeste,Brasil
747,Carroll,Masculino,CrianÃ§as,2006-07-30,82674,Junior Executive,Norte,Brasil
748,Elliott,Masculino,Roupas,2009-12-09,119097,Administrative Assistant I,Sudeste,Brasil
749,Parker,Feminino,Joalheria,2012-09-05,60498,Accountant I,Norte,Brasil
750,Ward,Masculino,MÃºsica,2014-07-16,108228,VP Sales,Sul,Brasil
751,Kelley,Masculino,Eletronicos,2005-05-07,106602,Occupational Therapist,Sudeste,Brasil
752,Gonzales,Feminino,Lar,2011-01-24,95810,Food Chemist,Norte,Brasil
753,King,Feminino,Eletronicos,2005-02-05,149597,Structural Analysis Engineer,Nordeste,Brasil
754,Mendoza,Feminino,Eletronicos,2000-03-17,57331,Occupational Therapist,Sul,Brasil
755,Tucker,Masculino,Industrial,2011-08-17,49113,Business Systems Development Analyst,Nova Scotia,Canada
756,Fox,Feminino,AlimentÃ­cios,2005-07-17,80417,Assistant Media Planner,Nova Scotia,Canada
757,Evans,Masculino,Games,2012-04-05,122595,Automation Specialist I,Quebec,Canada
758,Ray,Masculino,Brinquedos,2013-10-23,126661,Systems Administrator I,Sudeste,Brasil
759,Vasquez,Masculino,Jardim,2000-04-02,127695,Systems Administrator I,Nova Scotia,Canada
760,Bell,Masculino,BebÃªs,2008-07-24,66608,General Manager,Nordeste,Brasil
761,Burke,Feminino,Lar,2014-12-14,106033,Quality Control Specialist,Nordeste,Brasil
762,Stanley,Masculino,Eletronicos,2013-08-09,103237,Account Executive,Nova Scotia,Canada
763,Bell,Masculino,Computadores,2002-04-22,122843,Accountant IV,Sudeste,Brasil
764,Jacobs,Feminino,MÃºsica,2004-07-06,51771,Accountant III,Sul,Brasil
765,Williams,Masculino,Ferramentas,2009-11-07,107709,Nuclear Power Engineer,Nordeste,Brasil
766,Elliott,Masculino,Books,2009-12-18,104149,Food Chemist,Sudeste,Brasil
767,Hall,Masculino,Books,2004-08-02,91501,Editor,Nova Scotia,Canada
768,Meyer,Feminino,Automotivo,2014-07-24,42602,Programmer IV,Sudeste,Brasil
769,Kelly,Feminino,CrianÃ§as,2013-11-24,132676,Dental Hygienist,Norte,Brasil
770,Burton,Feminino,Games,2006-05-04,140688,Programmer Analyst III,Sul,Brasil
771,Clark,Feminino,Jardim,2014-09-09,51792,Software Consultant,Norte,Brasil
772,Elliott,Masculino,Filmes,2004-10-13,100570,Senior Financial Analyst,British Columbia,Canada
773,Dixon,Masculino,Ferramentas,2007-07-02,60383,VP Product Management,Nordeste,Brasil
774,Richards,Masculino,CalÃ§ados,2006-03-21,68761,Graphic Designer,Nordeste,Brasil
775,Gonzalez,Feminino,Ferramentas,2009-10-14,131830,GIS Technical Architect,Sudeste,Brasil
776,Olson,Feminino,Roupas,2013-09-27,107535,Office Assistant III,Nova Scotia,Canada
777,Sims,Masculino,Industrial,2001-11-15,95548,Sales Associate,Sul,Brasil
778,Thomas,Masculino,Automotivo,2013-05-16,116487,Graphic Designer,Nordeste,Brasil
779,Gonzalez,Masculino,AlimentÃ­cios,2005-02-03,148106,Sales Representative,Sudeste,Brasil
780,Cox,Masculino,Games,2007-04-04,135719,Database Administrator I,British Columbia,Canada
781,Schmidt,Feminino,Automotivo,2010-04-04,121300,Human Resources Assistant II,British Columbia,Canada
782,Weaver,Masculino,Filmes,2011-11-09,120226,Software Engineer II,Norte,Brasil
783,Burns,Masculino,Automotivo,2004-08-13,44377,Technical Writer,Norte,Brasil
784,Burns,Masculino,Eletronicos,2008-02-15,102001,Developer III,Norte,Brasil
785,Miller,Masculino,MÃºsica,2009-03-10,99151,Information Systems Manager,Nordeste,Brasil
786,Willis,Masculino,Jardim,2000-10-08,123427,General Manager,Norte,Brasil
787,Williamson,Feminino,Ferramentas,2003-03-09,135695,Budget/Accounting Analyst III,Quebec,Canada
788,Phillips,Feminino,Brinquedos,2004-04-29,102793,Editor,Norte,Brasil
789,James,Masculino,Roupas,2005-03-20,130188,Structural Analysis Engineer,Nordeste,Brasil
790,Murray,Feminino,Lar,2013-04-25,97607,Accountant IV,Sul,Brasil
791,Phillips,Feminino,Esporte,2013-12-11,93534,SaÃºde Coach IV,Nordeste,Brasil
792,Mccoy,Masculino,Industrial,2007-09-20,95787,Engineer IV,Sudeste,Brasil
793,Kelly,Feminino,Games,2011-04-16,120086,Professor,Quebec,Canada
794,Larson,Feminino,Outdoors,2009-01-01,119414,Research Assistant II,Nordeste,Brasil
795,Hansen,Feminino,Jardim,2008-09-12,79952,Compensation Analyst,Norte,Brasil
796,Owens,Masculino,Beleza,2004-08-17,138682,Analyst Programmer,Nova Scotia,Canada
797,Ramos,Feminino,SaÃºde,2003-05-20,49667,Help Desk Technician,Quebec,Canada
798,Kim,Masculino,Jardim,2008-07-13,83798,Technical Writer,British Columbia,Canada
799,Sims,Feminino,Roupas,2013-03-09,146024,Actuary,Nova Scotia,Canada
800,Peterson,Masculino,Outdoors,2000-09-08,144841,Web Developer I,Norte,Brasil
801,Gomez,Feminino,Filmes,2012-09-20,101582,Biostatistician II,Nova Scotia,Canada
802,Knight,Feminino,Filmes,2006-05-30,100716,Help Desk Operator,Sul,Brasil
803,Hunt,Feminino,Beleza,2011-03-16,72016,Computer Systems Analyst I,Norte,Brasil
804,Hunter,Feminino,Books,2005-07-31,123156,Social Worker,Nordeste,Brasil
805,Gordon,Masculino,BebÃªs,2014-08-13,110058,Business Systems Development Analyst,Nordeste,Brasil
806,Hill,Masculino,CalÃ§ados,2011-12-15,117092,VP Product Management,British Columbia,Canada
807,Gibson,Masculino,Industrial,2005-12-15,148816,Operator,Norte,Brasil
808,Mills,Feminino,Games,2009-04-14,79031,Electrical Engineer,Sul,Brasil
809,Butler,Masculino,Automotivo,2006-08-09,128448,Technical Writer,Sul,Brasil
810,Foster,Feminino,SaÃºde,2013-01-07,138478,Software Test Engineer IV,Norte,Brasil
811,Harrison,Masculino,Joalheria,2010-10-08,41026,Professor,Nordeste,Brasil
812,Harvey,Masculino,Beleza,2006-09-25,131816,Sales Representative,Nordeste,Brasil
813,Collins,Feminino,AlimentÃ­cios,2013-11-11,85647,Speech Pathologist,Quebec,Canada
814,Hayes,Masculino,Joalheria,2000-02-28,49457,Compensation Analyst,Norte,Brasil
815,Burton,Feminino,Jardim,2014-10-01,80763,Community Outreach Specialist,Sul,Brasil
816,Jackson,Feminino,Beleza,2013-12-29,107093,Electrical Engineer,Sul,Brasil
817,Dixon,Masculino,BebÃªs,2008-01-15,138970,Structural Analysis Engineer,Nova Scotia,Canada
818,Rice,Feminino,Filmes,2002-04-05,82077,Data Coordiator,Norte,Brasil
819,Murray,Masculino,Industrial,2014-12-06,83237,Editor,Norte,Brasil
820,Baker,Masculino,Brinquedos,2002-01-20,107749,Graphic Designer,Sudeste,Brasil
821,Riley,Masculino,Joalheria,2012-06-19,149114,Business Systems Development Analyst,Nova Scotia,Canada
822,Gonzalez,Masculino,SaÃºde,2007-08-09,107240,Financial Analyst,Norte,Brasil
823,Harrison,Feminino,BebÃªs,2008-05-30,134334,Accountant II,Nova Scotia,Canada
824,Morris,Masculino,AlimentÃ­cios,2002-09-26,72008,GIS Technical Architect,Sudeste,Brasil
825,Turner,Masculino,Books,2000-04-03,89285,Community Outreach Specialist,British Columbia,Canada
826,Garcia,Feminino,AlimentÃ­cios,2003-08-10,131075,Help Desk Operator,Sudeste,Brasil
827,Fowler,Masculino,BebÃªs,2009-05-07,110383,Chief Design Engineer,Norte,Brasil
828,Allen,Feminino,Ferramentas,2005-07-18,149586,Account Coordinator,Nordeste,Brasil
829,Parker,Masculino,SaÃºde,2002-11-27,89503,Research Associate,Sudeste,Brasil
830,Stewart,Feminino,Computadores,2010-03-14,149336,Senior Sales Associate,Nordeste,Brasil
831,Rodriguez,Feminino,Outdoors,2006-08-30,140276,Electrical Engineer,British Columbia,Canada
832,Turner,Feminino,Games,2001-04-08,127875,Accountant III,Nova Scotia,Canada
833,Chavez,Feminino,MÃºsica,2009-05-29,137704,Help Desk Technician,Norte,Brasil
834,Cox,Feminino,Games,2013-01-17,149221,Senior Financial Analyst,Sudeste,Brasil
835,Tucker,Masculino,BebÃªs,2014-06-04,148573,Nurse Practicioner,Norte,Brasil
836,Vasquez,Feminino,Games,2002-09-20,125378,Senior Developer,Norte,Brasil
837,Cole,Feminino,Joalheria,2006-09-12,66420,Clinical Specialist,Nova Scotia,Canada
838,Black,Masculino,Brinquedos,2008-09-28,117171,Electrical Engineer,Norte,Brasil
839,Richardson,Feminino,SaÃºde,2008-10-23,145962,Cost Accountant,Sul,Brasil
840,Hamilton,Masculino,Books,2001-10-19,73778,Sales Representative,Sudeste,Brasil
841,Sullivan,Masculino,CrianÃ§as,2008-03-04,76731,Accounting Assistant II,Sudeste,Brasil
842,Carpenter,Feminino,Beleza,2008-07-13,101653,Web Designer II,Quebec,Canada
843,Ross,Masculino,Jardim,2001-01-11,62534,Senior Editor,Sul,Brasil
844,Hall,Masculino,Outdoors,2013-04-30,100428,Web Designer I,Sul,Brasil
845,Washington,Masculino,CrianÃ§as,2001-12-02,109828,VP Quality Control,Quebec,Canada
846,Moreno,Feminino,Joalheria,2001-03-21,63133,Clinical Specialist,British Columbia,Canada
847,Knight,Feminino,Roupas,2008-03-22,91532,Operator,Norte,Brasil
848,Austin,Feminino,CalÃ§ados,2005-01-26,101646,Environmental Tech,Nordeste,Brasil
849,Rice,Masculino,AlimentÃ­cios,2002-08-02,68034,Senior Financial Analyst,Norte,Brasil
850,Kelley,Masculino,CrianÃ§as,2012-04-04,55214,Senior Quality Engineer,Sudeste,Brasil
851,Gordon,Feminino,Automotivo,2002-12-29,136448,Media Manager II,Norte,Brasil
852,Rose,Masculino,CalÃ§ados,2010-05-01,76086,Statistician I,Nova Scotia,Canada
853,Mendoza,Masculino,Beleza,2013-08-03,128947,Help Desk Operator,British Columbia,Canada
854,Hanson,Masculino,Ferramentas,2006-10-14,113354,VP Quality Control,Norte,Brasil
855,Perry,Masculino,Jardim,2012-05-21,75125,VP Marketing,Nova Scotia,Canada
856,Roberts,Feminino,Roupas,2004-02-21,139714,Help Desk Operator,Sudeste,Brasil
857,Nichols,Masculino,Brinquedos,2003-10-20,43537,Help Desk Operator,Norte,Brasil
858,Wright,Feminino,Automotivo,2001-11-23,127521,Nurse,Norte,Brasil
859,Clark,Masculino,SaÃºde,2007-02-19,112510,Information Systems Manager,Norte,Brasil
860,Anderson,Masculino,Esporte,2004-12-26,115009,Structural Engineer,Norte,Brasil
861,Foster,Feminino,Eletronicos,2013-05-01,64381,Professor,Nova Scotia,Canada
862,Stanley,Feminino,AlimentÃ­cios,2001-02-10,149929,Director of Sales,Quebec,Canada
863,Gonzales,Feminino,Automotivo,2001-09-07,101006,Sales Associate,Sudeste,Brasil
864,Jones,Feminino,Beleza,2013-09-01,47716,Quality Engineer,Sudeste,Brasil
865,Dixon,Feminino,Esporte,2008-12-29,126420,Structural Analysis Engineer,Quebec,Canada
866,Kelly,Feminino,Esporte,2011-09-01,55265,Paralegal,Nordeste,Brasil
867,Johnson,Feminino,Books,2012-03-18,95679,Associate Professor,Sul,Brasil
868,Price,Masculino,Filmes,2003-01-24,52612,Analyst Programmer,Nova Scotia,Canada
869,Turner,Feminino,CalÃ§ados,2010-12-10,130849,Desktop Support Technician,British Columbia,Canada
870,Howard,Masculino,Outdoors,2006-08-21,141753,Assistant Professor,Sul,Brasil
871,Hanson,Masculino,SaÃºde,2007-08-27,133492,Accountant II,Sul,Brasil
872,Hall,Masculino,CrianÃ§as,2004-12-28,112126,Information Systems Manager,Sul,Brasil
873,Alexander,Feminino,Brinquedos,2006-07-05,140078,Environmental Specialist,Sul,Brasil
874,Spencer,Masculino,Books,2012-09-29,119769,Director of Sales,Sudeste,Brasil
875,Jenkins,Feminino,SaÃºde,2007-02-15,115911,Civil Engineer,Nova Scotia,Canada
876,Montgomery,Masculino,CalÃ§ados,2003-12-22,75676,Recruiting Manager,Sul,Brasil
877,Webb,Masculino,Outdoors,2005-04-13,144932,Marketing Assistant,Norte,Brasil
878,Williamson,Masculino,Industrial,2010-10-25,80102,Graphic Designer,Sudeste,Brasil
879,Hill,Masculino,Ferramentas,2011-10-03,144661,Registered Nurse,Sul,Brasil
880,Grant,Feminino,MÃºsica,2001-09-26,60268,Registered Nurse,Sul,Brasil
881,Wright,Feminino,Ferramentas,2014-09-10,94072,Social Worker,Sul,Brasil
882,George,Masculino,CalÃ§ados,2006-02-23,85249,Engineer I,Sudeste,Brasil
883,George,Masculino,AlimentÃ­cios,2007-10-12,66059,Software Test Engineer IV,British Columbia,Canada
884,Ford,Feminino,Eletronicos,2005-11-26,80931,Cost Accountant,Nordeste,Brasil
885,Wallace,Feminino,Brinquedos,2011-09-17,118793,Research Assistant III,Sul,Brasil
886,Murphy,Feminino,BebÃªs,2014-09-26,62114,Analyst Programmer,Nova Scotia,Canada
887,Vasquez,Masculino,Beleza,2014-05-03,131811,Social Worker,Norte,Brasil
888,Collins,Feminino,Outdoors,2007-09-30,143034,Budget/Accounting Analyst III,Sul,Brasil
889,Jackson,Masculino,Games,2013-05-07,41516,Nurse,Nordeste,Brasil
890,Howell,Feminino,BebÃªs,2012-11-26,72534,Account Executive,Norte,Brasil
891,Richards,Masculino,BebÃªs,2011-06-09,140004,Design Engineer,Nova Scotia,Canada
892,Crawford,Masculino,Beleza,2004-06-23,114436,Account Representative IV,British Columbia,Canada
893,Dixon,Masculino,AlimentÃ­cios,2009-03-31,68684,funcionarios Scientist,Sul,Brasil
894,Owens,Masculino,Automotivo,2000-09-18,135326,Graphic Designer,Nordeste,Brasil
895,Moore,Masculino,Industrial,2014-02-23,40194,Environmental Specialist,British Columbia,Canada
896,Carpenter,Feminino,Lar,2010-10-28,134813,SaÃºde Coach I,Nova Scotia,Canada
897,Reid,Masculino,Beleza,2002-03-09,79718,Marketing Manager,Norte,Brasil
898,Lee,Feminino,Industrial,2010-12-09,115085,Senior Quality Engineer,Nova Scotia,Canada
899,Burton,Feminino,CalÃ§ados,2005-03-05,67758,Chemical Engineer,Sudeste,Brasil
900,Jordan,Masculino,Brinquedos,2012-02-23,115776,Database Administrator I,Sudeste,Brasil
901,Perry,Masculino,Books,2013-12-15,146701,Research Assistant II,Nova Scotia,Canada
902,Wright,Masculino,CalÃ§ados,2011-12-16,109233,Mechanical Systems Engineer,Norte,Brasil
903,Burns,Feminino,Outdoors,2007-01-07,113654,SaÃºde Coach IV,Nordeste,Brasil
904,Roberts,Feminino,Ferramentas,2004-08-25,90937,Cost Accountant,Quebec,Canada
905,Webb,Masculino,Automotivo,2007-10-10,111689,GIS Technical Architect,British Columbia,Canada
906,Spencer,Masculino,Eletronicos,2014-04-18,110881,Electrical Engineer,Nordeste,Brasil
907,Frazier,Feminino,Ferramentas,2009-09-22,104326,Assistant Manager,British Columbia,Canada
